id,text,Anger,Fear,Joy,Sadness,Surprise,text_length,word_count,processed_text
eng_train_track_a_00001,But not very happy.,0,0,1,1,0,19,4,but not very happy
eng_train_track_a_00002,"Well she's not gon na last the whole song like that, so since I'm behind her and the audience can't see below my torso pretty much, I use my hand to push down on the lid and support her weight.",0,0,1,0,0,193,40,well shes not gon na last the whole song like that so since im behind her and the audience cant see below my torso pretty much i use my hand to push down on the lid and support her weight
eng_train_track_a_00003,She sat at her Papa's recliner sofa only to move next to me and start clinging to my arms.,0,0,0,0,0,90,19,she sat at her papas recliner sofa only to move next to me and start clinging to my arms
eng_train_track_a_00004,"Yes, the Oklahoma city bombing.",1,1,0,1,1,31,5,yes the oklahoma city bombing
eng_train_track_a_00005,They were dancing to Bolero.,0,0,1,0,0,28,5,they were dancing to bolero
eng_train_track_a_00006,"Still had sex with her, though.",0,0,1,0,0,31,6,still had sex with her though
eng_train_track_a_00007,"But I am exhausted-my eyes feel like they are about to pop out of my head-I need some soothing music and images to help my mediate, even for a few minutes, just take me away $ # 365 yoga Monday's Musical Meditation: 0 minutes ago early night-first day of work after mat.",0,1,0,1,0,270,52,but i am exhaustedmy eyes feel like they are about to pop out of my headi need some soothing music and images to help my mediate even for a few minutes just take me away    yoga mondays musical meditation  minutes ago early nightfirst day of work after mat
eng_train_track_a_00008,We ordered some food at Mcdonalds instead of buying food at the theatre because of the ridiculous prices the theatre has.,1,0,0,0,0,121,21,we ordered some food at mcdonalds instead of buying food at the theatre because of the ridiculous prices the theatre has
eng_train_track_a_00009,"Now my parents live in the foothills, and the college is in a large valley.",0,0,0,0,0,75,15,now my parents live in the foothills and the college is in a large valley
eng_train_track_a_00010,"We get to the porch and my dog starts *growling*, like a big boy growl, like shits going down growl.",0,1,0,0,1,100,20,we get to the porch and my dog starts growling like a big boy growl like shits going down growl
eng_train_track_a_00011,"I moved my arms, stretching the muscles, watching ribbons of flesh dance around skin and bone.",0,0,1,0,0,94,16,i moved my arms stretching the muscles watching ribbons of flesh dance around skin and bone
eng_train_track_a_00012,"The room was small but brightly lit and I sat on a two-seater couch facing the counselor across the room, as opposed to lounging on my back while staring at the ceiling with the lights dimmed.So what did I learn?",0,0,0,0,0,212,40,the room was small but brightly lit and i sat on a twoseater couch facing the counselor across the room as opposed to lounging on my back while staring at the ceiling with the lights dimmedso what did i learn
eng_train_track_a_00013,The top of the mattress comes up a little above my waist!,0,0,1,0,0,57,12,the top of the mattress comes up a little above my waist
eng_train_track_a_00014,I have plenty more.,0,0,1,0,0,19,4,i have plenty more
eng_train_track_a_00015,it took a little longer for my feet to hurt which was nice.,0,0,1,0,0,59,13,it took a little longer for my feet to hurt which was nice
eng_train_track_a_00016,About 2 weeks ago I thought I pulled a muscle in my calf.,0,1,0,1,0,57,13,about  weeks ago i thought i pulled a muscle in my calf
eng_train_track_a_00017,I still cannot explain this.,0,1,0,0,1,28,5,i still cannot explain this
eng_train_track_a_00018,more funny than creepy being on this side of the story:,0,1,1,0,1,55,11,more funny than creepy being on this side of the story
eng_train_track_a_00019,5 year old me was scarred for life.,0,1,0,1,0,35,8,year old me was scarred for life
eng_train_track_a_00020,The waitress had physical therapy experience and prepared a nice bag of ice for my ankle and the beer was FANTASTIC!,0,0,1,0,0,116,21,the waitress had physical therapy experience and prepared a nice bag of ice for my ankle and the beer was fantastic
eng_train_track_a_00021,"Then I decided to try and get up to go to the restroom, but I couldn't move!",0,1,0,0,1,76,17,then i decided to try and get up to go to the restroom but i couldnt move
eng_train_track_a_00022,""" The cop tells him to have a nice day and walks away.",1,0,1,0,1,54,13,the cop tells him to have a nice day and walks away
eng_train_track_a_00023,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0,107,22,the following two days i was in a moderate amount of pain and had very limited range of motion in my arms
eng_train_track_a_00024,"He saw blood and said,  ""Mommy!",0,1,0,1,1,31,6,he saw blood and said  mommy
eng_train_track_a_00025,"Not the most unnerving feeling, but the most prominent event in my mind is as follows:",0,1,0,0,1,86,16,not the most unnerving feeling but the most prominent event in my mind is as follows
eng_train_track_a_00026,When the dust settled I looked over at my wife and saw she was alive and I knew I was alive so I immediately had happiness in my heart.,0,0,1,0,0,135,29,when the dust settled i looked over at my wife and saw she was alive and i knew i was alive so i immediately had happiness in my heart
eng_train_track_a_00027,I love you boy.,0,0,1,0,0,15,4,i love you boy
eng_train_track_a_00028,i brush my teeth at least twice a day.,0,0,0,0,0,38,9,i brush my teeth at least twice a day
eng_train_track_a_00029,"Needless to say, I turned her down.",0,0,0,0,0,35,7,needless to say i turned her down
eng_train_track_a_00030,"I lowered my head so it fell across my face, a good excuse not to look directly at Cody.",0,1,0,0,0,88,19,i lowered my head so it fell across my face a good excuse not to look directly at cody
eng_train_track_a_00031,Never saw him again.,0,0,0,1,0,20,4,never saw him again
eng_train_track_a_00032,still cant get my head around the fact that this time 2 weeks ill be home.,0,1,0,0,0,74,16,still cant get my head around the fact that this time  weeks ill be home
eng_train_track_a_00033,"Grandma leaned forward, let out a sigh of relief and died.",0,1,0,1,1,58,11,grandma leaned forward let out a sigh of relief and died
eng_train_track_a_00034,My heart immediately hurt.,0,1,0,1,0,26,4,my heart immediately hurt
eng_train_track_a_00035,Apparently it wasn't as life threatening as I believed at the time because the doctor didn't want to mar my forehead with stitches so I got butterfly bandages instead.,0,1,0,1,0,167,29,apparently it wasnt as life threatening as i believed at the time because the doctor didnt want to mar my forehead with stitches so i got butterfly bandages instead
